tittle,genre,description
The Fast and the Furious,action,Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.
Train to Busan,action,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan."
Black Widow,action,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.
Resident Evil: Welcome to Raccoon City,action,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City."
Casino Royale,action,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
Deadpool,action,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
The Suicide Squad,action,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super secret, super-shady Task Force X as they are dropped off at the remote, enemy infused island of Corto Maltese."
Spider-Man: No Way Home,action,"For the first time in the cinematic history of Spider-Man, our friendly neighborhood hero is unmasked and no longer able to separate his normal life from the high-stakes of being a Super Hero. When he asks for help from Doctor Strange, the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man."
Avengers: Endgame,action,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Mortal Kombat,action,MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.
The Lord of the Rings: The Fellowship of the Ring,fantasy,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save the magic Middle-earth from the dark Lord Sauron.
The Hobbit: An Unexpected Journey,fantasy,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
Pirates of the Caribbean: At World's End,fantasy,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle of pirates."
Avatar,fantasy,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home with the magic creatures in the moon.
Eternals,fantasy,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations."
Harry Potter and the Sorcerer's Stone,fantasy,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
Ghostbusters: Afterlife,fantasy,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind."
Jumanji: The Next Level,fantasy,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game."
Jumanji: Welcome to the Jungle,fantasy,"Four teenagers are sucked into a magical videogame, and the only way they can escape is to work together to finish the game."
Indiana Jones and the Raiders of the Lost Ark,fantasy,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
Ready Player One,science fiction,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world."
The Matrix,science fiction,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber intelligence."
Tenet,science fiction,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time."
Blade Runner 2049,science fiction,"In the future there is no certain number of real humans and cyborgs, this is a dystopia."
Interstellar,science fiction,A team of explorers travel through a wormhole in space in an attempt to ensure humanity  survival.
Finch,science fiction,"On a postapocalyptic earth, a robot, built to protect the life of his creator's beloved dog, learns about life, love, friendship and what it means to be human."
Alien,science fiction,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun, alien"
Mars Attacks!,science fiction,Earth is invaded by martians with unbeatable weapons and a cruel sense of humor.
Star Wars: Episode IV - A New Hope,science fiction,"Luke Skywalker joins forces with a jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
Dune,science fiction,A Duke's son leads spacial desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.
The Notebook,romance,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences."
365 Days,romance,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fallinlove with him."
He's All That,romance,"A teenage girl sets out to give a nebbish classmate the ultimate high school makeover. An updated remake of the 1999 film, 'She's All That'."
Titanic,romance,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Little Women,romance,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
Call Me by Your Name,romance,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
Sounds Like Love,romance,"Fashion assistant Maca has just about got her life together after a devastating breakup, when Leo, the man who broke her heart returns. Seeking support from best friends, Adriana and Jime, all three will learn love can be complicated."
Twilight,romance,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire."
Fifty Shades of Grey,romance,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
The Jungle Book,kids,"Bagheera the panther and Baloo the bear have a difficult time trying to convince a boy to leave the jungle for human civilization, animal pals."
My Little Pony: A New Generation,kids,"After the time of the Mane 6, Sunny--a young Earth pony--and her new unicorn friend Izzy explore their world and strive to restore Harmony to Equestria."
Encanto,kids,A young Colombian girl has to face the frustration of being the only member of her family without magical powers.
PAW Patrol: The Movie,kids,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of puppys.
Frozen,kids,Elsa is a princess who uses magical powers upon her sister and she became queen
The Lion King,kids,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself, animals."
Cars,kids,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
Clifford the Big Red Dog,kids,A young girl's love for a tiny puppy named Clifford makes the dog grow to an enormous size.
Tom and Jerry,kids,"A chaotic battle ensues between Jerry mouse, who has taken refuge in the Royal Gate Hotel, and Tom cat, who is hired to drive him away before the day of a big wedding arrives."
Atlantis: The Lost Empire,kids,"A young linguist named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis, friendship."
